Time,Speaker,Speech Texts
00:00:00,Speaker A,Going to do some questions in partitions.
00:00:05,Speaker A,How to do partitions.
00:00:06,Speaker A,"Okay, so we officially come to chapter five."
00:00:10,Speaker A,We're going to make partitions.
00:00:11,Speaker A,All right?
00:00:12,Speaker A,"So before we do that, I want to see an interesting phenomenon."
00:00:23,Speaker A,All right?
00:00:26,Speaker A,First I want you to tell me what are the results we're looking at?
00:00:31,Speaker A,What's the meaning of the results before we see why they have that result?
00:00:37,Speaker A,"First, I want you to see the results."
00:00:39,Speaker A,I see.
00:00:40,Speaker A,And you want to tell me what we're seeing so far.
00:00:47,Speaker A,"Doug, can you explain the results we're seeing so far?"
00:00:51,Speaker A,No.
00:00:52,Speaker A,"What's the command, Doug?"
00:00:54,Speaker A,Why don't we start with that?
00:00:56,Speaker A,What does I and D mean in there?
00:01:00,Speaker A,ID is the inode.
00:01:01,Speaker A,I know d means what directory.
00:01:06,Speaker A,Right.
00:01:07,Speaker A,So we are viewing the inode of the two folders which are slash and boot.
00:01:17,Speaker A,Right.
00:01:18,Speaker A,So anything weird about the results?
00:01:23,Speaker A,The same.
00:01:24,Speaker A,Are they the same folder?
00:01:28,Speaker A,But their inode are the same?
00:01:30,Speaker A,We just did a quiz.
00:01:31,Speaker A,Right?
00:01:31,Speaker A,You found the same I know they're the same file.
00:01:33,Speaker A,Are they the same file?
00:01:34,Speaker A,Yeah.
00:01:35,Speaker A,You think so?
00:01:36,Speaker A,They're hard linked.
00:01:37,Speaker A,"Well, one of them is the original."
00:01:38,Speaker A,Really?
00:01:38,Speaker A,You hard link entire roof file system to boot folder?
00:01:42,Speaker A,No.
00:01:44,Speaker A,How do we make sense?
00:01:45,Speaker A,Yes.
00:01:45,Speaker A,Aren't they on two different partitions?
00:01:47,Speaker A,"Oh, wow."
00:01:48,Speaker A,Good.
00:01:49,Speaker A,"That's a good VVN, right?"
00:01:51,Speaker A,"So if I show you so, Danielle, tell me, what does that SDA mean?"
00:02:03,Speaker A,Partition for hard drive.
00:02:06,Speaker A,So what's the first partition name going to look like?
00:02:08,Speaker A,SDA 1.
00:02:09,Speaker A,Second.
00:02:13,Speaker A,Good.
00:02:14,Speaker A,So can tell me which partitions are these two folders residing on?
00:02:22,Speaker A,"Okay, so they are just partitions, but they happen to be the host of different folders."
00:02:29,Speaker A,"And when you have partitions, each partition may start the inode from one some servers too."
00:02:37,Speaker A,So it's okay.
00:02:38,Speaker A,So that's why you have the same inode number.
00:02:40,Speaker A,Right.
00:02:41,Speaker A,"So if I ask you a question, can we make hard link on a different partition?"
00:02:48,Speaker A,That's more like an example question.
00:02:50,Speaker A,Can we make a hard link on different partition?
00:02:54,Speaker A,"Well, yes or no?"
00:02:56,Speaker A,I don't think so.
00:02:57,Speaker A,Why not?
00:02:57,Speaker A,"There's two different parts of it, but there's two different partitions."
00:03:03,Speaker A,Can you make a symbolic link on two different partitions?
00:03:09,Speaker A,No.
00:03:10,Speaker A,Do you know it's just a shortcut.
